名称,地点,薪资,招聘需求,详情网址,区域
光伏电站运维工程师,上海·崇明区·西沙湿地,10-15K,"1-3年,大专",https://www.zhipin.com/job_detail/931a18b63bade2a11HR43N68FFZZ.html?lid=4R66DVQbjLz.search.45&securityId=LLNL_fRrMJesd-g1L69VWUCpu5J103MUl8OAfzVGKNbWUnPh1q3fsJXKUNp09k9qKTYmaQQvCVdkX2NqZ-ucm1QCvzwRHTWsXziuCvdqjDb_Yldo1b15l3XZdmYdPVNf5vwanoUdPoVRUA~~&sessionId=,崇明区
初级u3d开发工程师,上海·崇明区·长兴岛,4-6K,"1年以内,大专",https://www.zhipin.com/job_detail/9b4b1de6c570f29a1HB409u6F1RX.html?lid=4R66DVQbjLz.search.46&securityId=jqcPd9CiG8k22-z1qmYfbzObXqfXM-UZ9VHsUDPpmenVmim7DWLH1Lk2sJbLSdlTqTOUAQnITYGenbd1z0UMRLwrr6gvrC-2EAZ1xcJykFZ5k8dvGX5NuKhHGnXyxQ_FfBAQvY1UEyvHgQ~~&sessionId=,崇明区
驻场运维工程师,上海·崇明区·南门,8-12K,"3-5年,本科",https://www.zhipin.com/job_detail/04755f2165742f060XR52966FFY~.html?lid=4R66DVQbjLz.search.47&securityId=kkHTjYwTUeqc3-M1b78aipNKfKjpL267ejptBFeBiCoVa50uZLx-KCpFwUwD7DoH4XMQ3Wo-uGmmoCHzhPXMvwEX3f_N4AtYrKavbV3s7X76TUt2Wc2sVWS1J9Pu2MHOovoUMD3UGw~~&sessionId=,崇明区
java/kotlin开发工程师,上海·崇明区·长兴岛,15-20K,"3-5年,学历不限",https://www.zhipin.com/job_detail/d90072fe2b01e0181n190tu6GFJY.html?lid=4R66DVQbjLz.search.48&securityId=mnSgJlDQbxgyd-N15_hBQ_c2qnRG1ueP8ZWtrl-ldRdnc_zYob7aWpzsRfNmQ1XQHFvka7oJc3unSwyHzdQrBtNR9P-Mph5KZzf2uPgSrBm8rDFDTDKxKEX1_v2lAHptchNdf8z1x6ck&sessionId=,崇明区
船舶配套工程师,上海·崇明区·长兴岛,13-14K,"5-10年,大专",https://www.zhipin.com/job_detail/4f8067a9d4da28e61HV_2dm5F1NX.html?lid=4R66DVQbjLz.search.49&securityId=lda7A5OHxt7Jh-V1IDmwXg3yrrJdnowvFTGSvA3XRMwLoFx4KZ_iXcJfT0XZkNU-NLXk57QMBBNOqSCa-cPjP7cX9JUmB7u5NaP3D8jZuEnQW8SclhZx1Be8OWn8QDInI-Use96HgMx7uA~~&sessionId=,崇明区
上海新凌招聘手机维修,上海·黄浦区·南京东路,6-10K,"经验不限,学历不限",https://www.zhipin.com/job_detail/8c5d5cbbbcdd67dc1nJ529u5FlJT.html?lid=4R66DVQbjLz.search.50&securityId=OENPFi98qT0qz-y18fVjdNPV0WBO_G0rps4YX-6OlG9pnCS-eKoKfUnj5Zyd8fue7qvZLLSAP1WK1GMEks5VEOKPqECPNPClGW-awPlom1RC2VixfCpcWSvuF3YEntpfFaWSZtVLUg~~&sessionId=,崇明区
汽修厂前台接待,上海·崇明区·长兴岛,4-8K,"1-3年,大专",https://www.zhipin.com/job_detail/e892a154252c6c161HR72dm-EldT.html?lid=4R66DVQbjLz.search.51&securityId=TQhw4UPndKPmE-51zmuchrSRohZw6DodLYytUY4vb6TzD_fEiu2uZimch9-WRaj34CCnoFEuRAC95jJywGibipoWH8_5lXnkfx4-FMCc2eTVta6g4dpINMrnxIgm8cRtStfqechG5m4~&sessionId=,崇明区
运维工程师,上海·崇明区·堡镇,4-5K,"1年以内,中专/中技",https://www.zhipin.com/job_detail/11c02d92174a17cf1HJ_3d66GVM~.html?lid=4R66DVQbjLz.search.52&securityId=wZLVR80Uh8Ih8-L1KS8aa6uS4hkQ4hSPFO2dzeSXvdUzEEhouSOGSqRaG88WnZY3heG8emLy9z39RfsjUNU0_xJ-VaylzFglYYZo0Gish8R8XgtX0YftZXEcp40g6cOc4z60xMitPg~~&sessionId=,崇明区
初级数据库开发工程师,上海·崇明区·城桥,7-9K,"1年以内,本科",https://www.zhipin.com/job_detail/ea5745d5bf376eeb33V709q0ElU~.html?lid=4R66DVQbjLz.search.53&securityId=iIOEMnLS0nrGZ-L12rehQAw1goizf-vzHsN7zF4cD4gMRXjtZJ5BGaYf8o0jjdeYoSDqkwUW-83pyBx4Yp6aclG4OJiCCJakwocP3CEza4ZMFLT2M9KHqxbJvlXIY1i5vo1rH6Mq3Mc~&sessionId=,崇明区
现场监理工程师,上海·崇明区·长兴岛,20-21K,"1-3年,本科",https://www.zhipin.com/job_detail/2d704a382035179a1nx_2di7FlZY.html?lid=4R66DVQbjLz.search.54&securityId=Z8oiOTwMhHyOG-N1TzbwHJtu0fH2INtPBSBXxBmMGuPvzcwAqM6MgtNjrMTWw7eHKccrMOKQv3PlaoNGiAtTv-6akDEN1yFRUm_ER0etthyzCFnACa5SiiTgJruIbb-Kt1XO74qC6rc~&sessionId=,崇明区
